coverage;latitude;longitude;timeline;blue;evi;ndvi;red;nir
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2017-11-17T00:00:00;1050.0;4637.0;5410.0;1438.0;4829.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2017-12-03T00:00:00;1667.0;2841.0;3728.0;1703.0;3728.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2017-12-19T00:00:00;113.0;4876.0;7985.0;356.0;3178.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2018-01-01T00:00:00;201.0;6606.0;8546.0;330.0;4210.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2018-01-17T00:00:00;151.0;5809.0;8615.0;260.0;3495.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2018-02-02T00:00:00;1237.0;2488.0;3220.0;1925.0;3754.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2018-02-18T00:00:00;313.0;7329.0;8439.0;401.0;4739.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2018-03-06T00:00:00;170.0;5145.0;8444.0;250.0;2965.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2018-03-22T00:00:00;101.0;3981.0;8401.0;192.0;2210.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2018-04-07T00:00:00;164.0;4883.0;8234.0;279.0;2882.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2018-04-23T00:00:00;156.0;4893.0;8726.0;179.0;2633.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2018-05-09T00:00:00;132.0;5082.0;8553.0;229.0;2937.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2018-05-25T00:00:00;154.0;5036.0;8299.0;279.0;3003.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2018-06-10T00:00:00;215.0;5951.0;8582.0;264.0;3462.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2018-06-26T00:00:00;156.0;5225.0;8495.0;247.0;3037.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2018-07-12T00:00:00;177.0;4577.0;7254.0;523.0;3287.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2018-07-28T00:00:00;249.0;6203.0;8358.0;341.0;3813.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2018-08-13T00:00:00;253.0;5572.0;7944.0;406.0;3545.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2018-08-29T00:00:00;178.0;5365.0;8321.0;296.0;3230.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2018-09-14T00:00:00;137.0;5251.0;8318.0;297.0;3236.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2018-09-30T00:00:00;248.0;3578.0;5435.0;1122.0;3794.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2018-10-16T00:00:00;185.0;5179.0;7657.0;478.0;3603.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2018-11-01T00:00:00;289.0;6919.0;8319.0;415.0;4524.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2018-11-17T00:00:00;1083.0;4713.0;5911.0;1105.0;4301.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2018-12-03T00:00:00;241.0;6562.0;8265.0;414.0;4361.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2018-12-19T00:00:00;321.0;6069.0;7803.0;533.0;4320.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2019-01-01T00:00:00;554.0;5756.0;7307.0;678.0;4359.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2019-01-17T00:00:00;135.0;4914.0;8141.0;312.0;3045.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2019-02-02T00:00:00;325.0;7236.0;8235.0;475.0;4910.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2019-02-18T00:00:00;330.0;7869.0;8366.0;492.0;5531.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2019-03-06T00:00:00;193.0;5953.0;8613.0;261.0;3505.0
